College Name,Region,Region Type,Location,District,Contact Number,Email Address,Website Link,Registrar Name,Registrar Contact Number,Status,Autonomous Status
"Dr. Bhausaheb Nadurkar College of Engineering, Waghapur,Yavatmal",Amravati,Urban,"Shri Saty Sai Krida Nagari, Waghapur Road, Yavatmal",Yavatmal,246166,dbncoetytl@gmail.com,www.dbncoet.ac.in,Prof. Ravi V. Nadimpalli,246162,Un-Aided,Non-Autonomous
"G.H. Raisoni college of Engineering & Management, Amravati",Amravati,Rural,"Anjangaon, Bari Road, Amravati",Amravati,2385429,vijay.rathod@raisoni.net,ghrcema.raisoni.net,Dr. Anand Deshpande,2385432,Un-Aided,Non-Autonomous
"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana",Amravati,Rural,"Rajarshi Shahu Nagar, Near Palna Ghar, Sagwan Road,  Buldhana ",Buldhana,242080,rsc_engg@rediffmail.com,www.rsce.ac.in,Adv. Ms. Kirti Sawale,287167,Un-Aided,Non-Autonomous
"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Amravati,Rural,"Sr. No.167/1,167/2 &163/,Arni Road, Mauza-Kinhi,Tal & Dist-Yavatmal",Yavatmal,244226,principal@jcoet.org,www.jcoet.org,Hemant M Baradkar,244226,Un-Aided,Non-Autonomous
"Prof Ram Meghe College of Engineering  and Management, Badnera",Amravati,Urban,"New Express Highway, Badnera Dist. Amravati",Amravati,2578385,principal@prmceam.ac.in,www.prmceam.ac.in,Mr. Sagar J Chandak,2580373,Un-Aided,Non-Autonomous
"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon",Amravati,Rural,"Knowledge Hub, Anjansingi Road, Dhamangaon RlY. Station, Amravati",Amravati,237335,desdcoet@rediffmail.com,www.descoet.org,Prof. Rajkumar Yadav,237335,Un-Aided,Non-Autonomous
"P. R. Pote Patil Institute of Engineering & Research, At  Kathora, Amravati ",Amravati,Rural,"Kathora Road, Pote Estate, Mu. Kathora Ta. Dist Amravati",Amravati,2970111,prpatilengineering@gmail.com,www.prppier.ac.in,Kishor Deshmukh,2970408,Un-Aided,Non-Autonomous
"Sanmati Engineering College, Sawargaon Barde, Washim",Amravati,Rural,"Survey no. 40, Washim-Malegaon Road, At. Post  Sawargaon Barde Dist. Washim ",Washim,233090,engineering@sanmati.in,www.sanmati.in,Vikas Joshi,234302,Un-Aided,Non-Autonomous
"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",Amravati,Urban,"Malkapur, Dist. Buldhana",Buldhana,224943,coemalkapur@rediffmail.com,www.coemalkapur.ac.in,Mr. Ramakant Rane,226700,Un-Aided,Non-Autonomous
"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Amravati,Urban,"Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,7722027506,maulicoet@gmail.com,www.mauligroup.org,Mr. S. S. Badhe,7722027506,Un-Aided,Non-Autonomous
"Harikisan Maloo Institute Of Management & Technology, Amravati",Amravati,Urban,"Opp. Deshmukh Lawns, Shegaaon Rahatgaon Road, Amravati. ",Amravati,90968111,hcminstmngtech@gmail.com,www.maloogroup.org,Dr. Ashish R. maloo,2970119,Un-Aided,Non-Autonomous
"Pratap Institute of Management & Technology, Washim.",Amravati,Rural,"Gat No. 89 & 90, Mauza Walki, Risod Road, Washim",Washim,288919,pimt.washim@gmail.com,www.pimtwashim.org,Shriram Wamanrao Khope,288919,Un-Aided,Non-Autonomous
"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile ",Amravati,Rural,"Gat No.133,134 & 140, Shegaon Khamgaon Road, Shirasgaon, Nile, Tal. Shegaon",Buldhana,220333,admn.stc@gmail.com,www.stc.org.in,Prof. Umesh Kute,220222,Un-Aided,Non-Autonomous
"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",Amravati,Rural,"Gut No.1035, Surat Nagpur Highway Vyala, Tal.Balapur, Akola",Akola,238406,principal@manavengineering.ac.in,www.manavengineering.ac.in,Santosh Kale,238406,Un-Aided,Non-Autonomous
"Let.Dr.D.B.Dod College of Engineering, Jambla,Achalpur",Amravati,Rural,"Sr.No.32/4 , Mauja Jambla, Anjangaon Road, Paratwada Tal. Achalpur Dist. Amravati",Amravati,9970931278,drdbdod@rediffmail.com,www.dbdcoe.org,Jayashree R. Talokar,225503,Un-Aided,Non-Autonomous
"Government College of Engineering,  Aurangabad",Aurangabad,Urban,"Station Road, Osmanpura,  Aurangabad",Aurangabad,2366111,principalgeca@yahoo.com,www.geca.ac.in,Rasal Shivaji Bhagwan,2366111,Government,Autonomous
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Aurangabad,Urban,"Vishnupuri, Nanded",Nanded,229234,director@sggs.ac.in,www.sggs.ac.in,Mr. S. M. Nilangekar,229234,Government-Aided,Autonomous
"University Department of Chemical Technology, Aurangabad",Aurangabad,Urban,"Dr. Babasaheb Ambedkar Marathwada University Campus, Aurangabad",Aurangabad,2403307,udctaurangabad@yahoo.co.in,www.bamu.net,Dr. Ganesh R. Manza,2403308,University Department,Non-Autonomous
"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Aurangabad,Urban,"Gut No. 258 (P), Satara Tanda, Tal & Dist. Aurangabad",Aurangabad,6608702,sycet@yahoo.com,www.syp.ac.in,N.S.Saraf ,6608701,Un-Aided,Non-Autonomous
"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Aurangabad,Urban,"N.H. No. 211,Beed bypass Road, Satara, Aurangabad",Aurangabad,2375222,spbhosle2001@gmail.com,www.mit.asia,Prof.Makarand Suresh Vaishnav,2375222,Un-Aided,Non-Autonomous
"Deogiri Institute of Engineering and Management Studies, Aurangabad",Aurangabad,Urban,"Deogiri College Campus, Railway Station Road, Aurangabad",Aurangabad,2367567,shiurkar@gmail.com,www.dietms.org,G. N.Tambe ,2367575,Un-Aided,Non-Autonomous
"Shree Sharda Bhavan Education Society's Institute of Technology & Management, Nanded",Aurangabad,Urban,"Yashwant College Campus, VIP Road Nanded,(MS) 431602",Nanded,253471,ssbesitm@yahoo.com,www.ssbesitm.org,S.B.HAMBARDE,254850,Un-Aided,Non-Autonomous
"Dnyanopasak Shikshan Mandal's Institute of Information Technology & Management, Parbhani.",Aurangabad,Urban,"C/o. Dnyanopasak College of  Arts, Commeres  & Science, Near Zilla Parishad, Jintur Road, Parbhani  431401",Parbhani,293044,gopal.hoge@gmail.com,www.dsmiitm.com,sandip bhagwanrao panchange,293044,Un-Aided,Non-Autonomous
"S.V.S.P. Mandal's Swami Vivekanand Institute of Technology and Mangement ,Udgir",Aurangabad,Rural,"Avalkonda Road, Udgir, Dist. Latur.   413517",Latur,253970,svitm934@gmail.com,www.svspm.edu.in,Datta Gharge,253970,Un-Aided,Non-Autonomous
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad,Urban,"P.B.-327, Satara Village Rd.,  off Beed By-Pass Highway ,Aurangabad",Aurangabad,2375111,principal.mite@mit.asia,www.mit.asia,SHRI. SURENDRA R. PATIL,2375375,Un-Aided,Non-Autonomous
"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Aurangabad,Urban,"Near Airport,Hingoli Road, Nanded",Nanded,224087,mgmcen@mgmcen.ac.in,www.mgmcen.ac.in,Mrs.  Amruta A. Sarsar ,222999,Un-Aided,Non-Autonomous
"M.S. Bidve Engineering College, Latur",Aurangabad,Rural,"P.O. Box No. 112, Barshi Road, Latur",Latur,221846,principal@msbecl.ac.in,www.msbecl.ac.in,MRS. BAWAGE V.V.,221255,Un-Aided,Non-Autonomous
"Shree Tuljabhavani College of Engineering, Tuljapur",Aurangabad,Rural,"Naldurg Road, Tuljapur, Dist. Osmanabad",Osmanabad,243603,stbcet@gmail.com,www.stbcet.org.in,Ms. S.T. Koli,243603,Un-Aided,Non-Autonomous
"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad",Aurangabad,Urban,"Mahatma Gandhi Mission's Jawaharlal Nehru Engg. College Campus, N-6, CIDCO",Aurangabad,2481434,jnec@jnec.ac.in,www.jnec.org,Mrs. Aishwarya D. Joshi ,2482893,Un-Aided,Non-Autonomous
"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Aurangabad,Rural,"Ambejogai, Beed",Beed,2488882,khadakbhavibi@gmail.com,www.coea.ac.in,NOT FILLED,247262,Un-Aided,Non-Autonomous
"Peoples Education Society's College of Engineering, Aurangabad",Aurangabad,Urban,"Nagasen Vana, Near Panchakki, University Rd., Aurangabad",Aurangabad,2403001,principal@pescoe.ac.in,www.pescoe.ac.in,Shri. V. F. Gajbhiye,2403017,Un-Aided,Non-Autonomous
"Hi-Tech Institute of Technology, Aurangabad",Aurangabad,Urban,"P-119, Bajajnagar, Aurangabad ",Aurangabad,2552240,principal@hitechengg.edu.in,www.hitechengg.edu.in,Mr.B.B.Jadhav,2553496,Un-Aided,Non-Autonomous
"Nagnathappa Halge Engineering  College, Parli, Beed",Aurangabad,Rural,"At Brahmwadi , Post Tokwadi, Parli-Beed State Highway, Parli Vaijnath Dist. Beed",Beed,224334,nhce1@hotmail.com,www.nhce.in,Prof. Mulgir S.N.,224334,Un-Aided,Non-Autonomous
"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Aurangabad,Urban,"Jalna-Aurangabad Road, Nagewadi, Jalna",Jalna,202533,msscetjalna@gmail.com,www.msscetjalna.org,Sham B. Bhojane,202533,Un-Aided,Non-Autonomous
"Shri Sai Samajik Vikas Santha's Shri Sai Colllege of Engineering, Paddari Village Tal. & Dist. Aurangabad",Aurangabad,Rural,"Gut No. 80, Paddari Village,Near Beed bypass,via Deolai,Near Sai Mandir, Tal. & Dist. Aurangabad",Aurangabad,6517388,appoint01@gmail.com,www.saiengineeringcollege.in,Kharat B.M.,6453732,Un-Aided,Non-Autonomous
"Maharashtra Education Society's Maharashtra Udayagiri Institute of Management & Technology, Somnathpur",Aurangabad,Rural,"Vill. Somnathpur, Tal. Udgir. Dist. Latur",Latur,257722,principalmuimt@gmail.com,www.muec.ac.in,Mr. Kulkarni A.B.,256152,Un-Aided,Non-Autonomous
"Geetai Charitable Trust's Khurana Sawant Institute of Engineering & Technology, Balsond, Hingoli.",Aurangabad,Rural,"Balsond, Tal.& Dist. Hingoli",Hingoli,290282,ksiet_hingoli@yahoo.co.in,www.ksiet.org,Ashruba Limbaji Korde,290281,Un-Aided,Non-Autonomous
"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Aurangabad,Rural,"Keshav Nagar, Jadahavwadi Road, Osmanabad.Tal.  & Dist. Osmanabad",Osmanabad,2293099,ktpcoeo@gmail.com,www.ktpcoe.org.in,ANDHALKAR SANTOSH,2293200,Un-Aided,Non-Autonomous
"G.S. Mandals Marathwada Institute of Technology (Arch.), Aurangabad",Aurangabad,Urban,"PB 327,Satara Road, Aurangabad",Aurangabad,2375111,info@mit.asia,www.mit.asia,Surendra R. Patil,2375111,Un-Aided,Non-Autonomous
"Gramodyogik Shikshan Mandal's Marathwada Institute Of Technology, Rotegaon, Vaijapur, Dist. Aurangabad.",Aurangabad,Rural,"Rotegaon, Post Box No. 327, Taluka, Vaijapur,Satara Village Road Dist. Aurangabad 431028",Aurangabad,204035,munish.sharma@mit.asia,www.mit.asia,V.G.Talekar,204035,Un-Aided,Non-Autonomous
"Shree Bharavnath Nisarga Mandal, Diploma in Engineering and Technology, Gevrai Tanda, Aurangabad",Aurangabad,Rural,"Gevrai Tanda, Paithan Road, Taluka & Dist. Aurangabad.  431001",Aurangabad,6616401,principalsbnm@rediffmail.com,www.sbnmpoly.org,Mr. Kazi M,2480451,Un-Aided,Non-Autonomous
"Vinayakrao Patil Shikshan Prasarak Mandal, Institute Of Engineering & Technology Kannad",Aurangabad,Rural,"Kannad, Dist Aurangabad ",Aurangabad,220588,1157principal@msbte.com,www.ietkannad.org,MAGAR  N.S.,220588,Un-Aided,Non-Autonomous
"Shree Dhaneshwari Manav Vikas Mandal Diploma In Engineering And Technology Institute, Hatta, Tal. Basmat, Hingoli",Aurangabad,Rural,"Hatta, Taluka Vasamat, Dist. Hingoli ",Hingoli,244257,1006principal@msbte.com,www.sdmvmspolyhatta.in,Mr.Raut V.G.,22454,Un-Aided,Non-Autonomous
"Dharati Janseva Pratishthan, Diploma In Engineering & Technology Institute, Jalna",Aurangabad,Rural,"Rohanwadi, Revgaon Raod, Tq.Dist.Jalna ",Jalna,8888651267,1093principal@msbte.com,www.djppolytech.org,SHINDE B. T.,02482223,Un-Aided,Non-Autonomous
"Education Society, Kalawatibai College Of Engineering & Technology (Polytechnic), Naigaon, Nanded",Aurangabad,Rural,"Lalwandi Road, Tal. Naigaon (Kh), Nanded  431709",Nanded,263399,1155principal@msbte.com,www.kalawatibaipoly.com,Mrs.Dachawar P.S.,263399,Un-Aided,Non-Autonomous
"Sahayog Sevabhai Sanstha, Indira Institute Of Technology(Polytechnic), Nanded.",Aurangabad,Rural,"Gat No. 18 & 22 Vishnupuri, Nanded 431606",Nanded,229155,indirapoly@gmail.com,www.sahayogcampus.ac.in,KIRKAN SHANKAR SANJAY,229155,Un-Aided,Non-Autonomous
"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad",Aurangabad,Urban,"P.B.-327, Satara Village Rd.,  off Beed By-Pass Highway Aurangabad , 431005",Aurangabad,2375333,sunil.deshmukh@mit.asia,www.mit.asia,PRAKASH G. GADHE,2375333,Un-Aided,Non-Autonomous
"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Aurangabad,Urban,"Vasmat Road,Parbhani",Parbhani,234109,director.ssiems@yahoo.com,www.mspgroup.org,Solanke Vikas Shankarrao,234109,Un-Aided,Non-Autonomous
"Ransamrat Kreeda Mandal's Rajarshi Shahu Institue of Technology,Parli Road Kallam, Dist. Osmanabad",Aurangabad,Rural,"Gat No 65-A/2, Parli Road Kallam, Dist. Osmanabad. 413507",Osmanabad,263011,rsit1489@gmail.com,www.shahuitkallam.org,Jawale Niteen Khanderao,263010,Un-Aided,Non-Autonomous
"Ambarwadikar Institute of Hotel Management & Catering Technology Polytechnic, Deolai, Aurangabad",Aurangabad,Urban,"Gut No. 103, Deolai, Surya Lawns Campus, Beed , Aurangabad ",Aurangabad,2242044,ambarwadikar.hmct@gmail.com,www.ambarwadikartech.com,Mr.Raju Kale,2653155,Un-Aided,Non-Autonomous
"Anand Charitable Trusts, Diploma in Engineering & Technology, Murshadapur, Ashti, Dist. Beed",Aurangabad,Rural," Murshadapur, Tq. Ashti, Dist. Beed.  414203",Beed,282974,acspoly.ashti@gmail.com,www.dietashti.org,Bodkhe Vijay Babanrao,282974,Un-Aided,Non-Autonomous
"Sevadas Shikshan Prasarak Mandal's Vasantrao Naik Instiute of Technology, Vasarni, Nanded",Aurangabad,Urban,"Gut No 24, Vasarni, Nanded. 431603",Nanded,225375,1506principal@msbte.com,www.sevadasspmnnd.org,MR. JOSHI K.C.,225375,Un-Aided,Non-Autonomous
"Shri Sai Institute of Technology(Polytechnic),Aurangabad",Aurangabad,Urban,"P-75 Behind Garware Palyster,MIDC ,Chikalthana  Aurangabad , 431210",Aurangabad,2470312,ssitpoly@gmail.com,www.ssit.org.in,Gawande K R,2470312,Un-Aided,Non-Autonomous
"Sai Institute of Engineering & Technology, Bilda, Aurangabad.",Aurangabad,Rural,"Survey No.170, Sai Nagar,Aurangabad Ajanta Road,Jalgaon Highway,Village Bilda,Tal. Phulambri,",Aurangabad,2020555,sietaurangabad@gmail.com,www.sietaurangabad.com,Mr. Shankar Chate,2020555,Un-Aided,Non-Autonomous
"Maitree Foundation's Maitree Institute of Management & Technology, Bhatangali Tal.& Dist. Latur",Aurangabad,Rural,"Gut. No. 237, Bhatangali, Tq. & Dist. Latur.  413512",Latur,240430,mimlatur@rediffmail.com,www.mimlatur.com,Sharad Hudage,254888,Un-Aided,Non-Autonomous
"V.J. Shinde College of Engineering, Osmanabad.",Aurangabad,Urban,"Gat No. 738, Waruda road, Osmanabad.",Osmanabad,203205,vjscoe2529@gmail.com,www.vjsengg.com,Prof. Shinde Abhijeet V.,203205,Un-Aided,Non-Autonomous
"CSMSS Chh. Shahu College of Engineering, Aurangabad",Aurangabad,Urban,"Kanchanwadi, Paithan Road, Aurangabad.",Aurangabad,6646370,shahuengg@gmail.com,www.csmssengg.org,Pravinkumar G Jadhao,6646371,Un-Aided,Non-Autonomous
"D.B.Group of Instituions, School of Technology, At.Mahalangra, Tal.Chakur,Latur",Aurangabad,Rural,"Opp. LATUT-NANDED HIGHWAY,AT MAHALANGRA,TQ-CHAKUR,DIST-LATUR-412513",Latur,259008,dbimr@yahoo.com,www.dbgroup.org.in,PATHAN M.A.,259009,Un-Aided,Non-Autonomous
"Gramin College of Engineering, Vishnupuri, Nanded",Aurangabad,Urban,"Vishnupuri, Nanded, Nanded waghala, Nanded",Nanded,229900,graminenggnanded@gmail.com,www.graminenggnanded.org,Mrs. Gajbhare jaya,229112,Un-Aided,Non-Autonomous
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",Mumbai,Urban,"H.R. Mahajani Marg, Matunga, Mumbai ",Mumbai City,24198101,director@vjti.org.in,www.vjti.ac.in,Dr. V. N. Palaskar,24198101,Government-Aided,Autonomous
"Sardar Patel College of Engineering, Andheri",Mumbai,Urban,"Munshi Nagar, Andheri (West),  Mumbai - Suburban ,Mumbai ",Mumbai Suburban,26708371,principal@spce.ac.in,www.spce.ac.in,S.R.Vinerkar,26232192,Government-Aided,Autonomous
"St. Xavier's Technical Institute, Mumbai",Mumbai,Urban,"Mahim Causeway Road, Mahim, Mumbai , 400016",Mumbai City,24451961,office@xaviertech.com,www.xaviertech.com,RAVIRAJ GHADGE,24455937,Government-Aided,Autonomous
"Father Agnel Technical College (Polytechnic), Bandra(W), Mumbai",Mumbai,Urban,"Fr. Agnel Ashram Mumbai , 400050",Mumbai City,67114051,fragnel_bandra@yahoo.com,atc.fragnel.ac.in,DEEPAK MASANE,67114054,Government-Aided,Autonomous
"Dr. Babasaheb Ambedkar Tech.University,Institute of Petrochemical Engineering,Lonere,Raigad",Mumbai,Rural,"Vidyavihar,P.O.Lonere,Tal-Mangaon. Raigad , 402103",Raigad,275103,iopelonere@rediffmail.com,www.iopelonere.com,---,275103,University Managed,Autonomous
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai,Urban,"Off. Juhu Versova Link Road, Versova, Andheri(W) Mumbai ",Mumbai Suburban,26707025,mctrgit02@gmail.com,www.mctrgit.ac.in,Shri. Subhash Khachane,26707026,Un-Aided,Non-Autonomous
"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai,Urban,"Vidyalankar Educational Campus,Vidyalankar College Marg, Wadala(E), Mumbai ",Mumbai City,24161126,principal@vit.edu.in,www.vit.edu.in,Mukund Deshmukh,24161126,Un-Aided,Non-Autonomous
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai,Urban,"Vaman Tukaram Patil Marg, Chembur, Mumbai",Mumbai Suburban,67978100,principal@sakec.ac.in,www.shahandanchor.com,Prof.A.W.Khan,25580854,Un-Aided,Non-Autonomous
"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai,Urban,"Plot No 46/46 A, Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad ",Raigad,27743706,registrarsaraswati@gmail.com,www.sce.edu.in,Mr.Amar Shinde,27743705,Un-Aided,Non-Autonomous
"Bharti Vidyapeeth's Institute of Management & Information Technology, Navi Mumbai",Mumbai,Urban,"Sector 8. CBD, Belapur, Navi Mumbai  400614",Thane,27578415,admission@bvimit.co.in,www.bvimit.co.in,Amol Ghatage,27578415,Un-Aided,Non-Autonomous
"Deccan Education Society's Navinchandra Mehta Institute of Technology & Development, Dadar, Mumbai",Mumbai,Urban,"DES's Mumbai Campus, Kirti College Road, Dadar (W), Mumbai.  400028",Mumbai City,62764583,director@nmitd.edu.in,www.nmitd.edu.in,PRASAD KULAKRNI,62764583,Un-Aided,Non-Autonomous
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai ",Mumbai,Urban,"At Junction of NH4 & Sion-Panvel Expressway,  Kamothe, Navi Mumbai ",Raigad,65138119,principal.cet@mgmmumbai.ac.in,www.mgmmumbai.ac.in,Dr. Sunita Shinde,27433421,Un-Aided,Non-Autonomous
"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai,Urban,"Thakur Shyamnarayan Marg,Thakur Village,Kandivali(E), Mumbai",Mumbai Suburban,67308000,tcet@thakureducation.org,www.tcetmumbai.in,Prasad Madhavan,67308000,Un-Aided,Autonomous
"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai,Urban,"37th Road, Off Linking Road, (Near National), Bandra (West), Mumbai ",Mumbai Suburban,26047087,gtthampi@yahoo.com,www.tsec.edu,Manohar Chandwani,26041631,Un-Aided,Non-Autonomous
"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai,Urban,"Father Agnel Ashram , Band-stand, Bandra (West), Mumbai",Mumbai Suburban,67114101,crce@fragnel.edu.in,www.fragnel.edu.in,Chandrashekhar Shetty,67114000,Un-Aided,Non-Autonomous
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai,Urban,"Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",Mumbai Suburban,61532511,vesit@vsnl.com,www.ves.ac.in/vesit,Mrs. Asma Parveen I.Siddavatam,61532532,Un-Aided,Non-Autonomous
"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",Mumbai,Urban,"Sector - 7,CBD- Belpur, Navi Mumbai 400614 ",Thane,27571074,principal.bvcoenm@bharatividyapeeth.edu,www.bvcoenm.edu.in,Mr. Santosh Shahaji Pawar,27572140,Un-Aided,Non-Autonomous
"Terna Engineering College, Nerul, Navi Mumbai",Mumbai,Urban,"Plot No. 12, Sector-22,Opp. Nerul Railway Station,Phase-II, Nerul (W),Navi Mumbai ",Thane,61115401,principal@terna.org,www.ternaengg.ac.in,Kavita S.Kadam,61115444,Un-Aided,Non-Autonomous
"Mandar Education Society's Rajaram Shinde College of Engineering, Pedhambe",Mumbai,Rural,"At Pedhambe, Po. Alore, Tal : Chiplun, Dist. Ratnagiri",Ratnagiri,230005,rscoedegree@gmail.com,www.mandaredusoc.org,D K Gaikwad,230005,Un-Aided,Non-Autonomous
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai,Urban,"Plot No.1, Sector No. 08, Ghansoli , Navi Mumbai 400 701",Thane,8080949300,contactus@sigce.edu.in,www.sigce.edu.in,Chandrakant Jadhav,27543608,Un-Aided,Non-Autonomous
"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai,Urban,"Sheel Kalyan Highway, Behind Venkatesh Petrolpump, Sonarpada, Manpada Post, Dombivali (E) Thane ",Thane,2023973,officessjcoe@gmail.com,www.shivajiraojondhalecoe.org.in, Mr. Shejul F. C.,2872560,Un-Aided,Non-Autonomous
"Vidyavardhini's College of Engineering and Technology, Vasai",Mumbai,Urban,"Vasai Road (W Rly), Tal: Vasai, District Palghar ",Palghar,2338234,vcet_inbox@vcet.edu.in,www.vcet.edu.in,Mr. Vishal K. Save,2338234,Un-Aided,Non-Autonomous
"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai,Urban,"Sector 9-A,  Vashi, Navi Mumbai,",Thane,27771000,principalfcrit@gmail.com,www.fcrit.ac.in,Neena Biju Nair,227771000,Un-Aided,Non-Autonomous
"Konkan Gyanpeeth College of Engineering, Karjat",Mumbai,Urban,"Vengaon Road, Dahivali, Karjat",Raigad,222580,principal@kgce.edu.in,www.kgce.edu.in,A,222580,Un-Aided,Non-Autonomous
"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai,Urban,"Plot No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Marg, Vile Parle (West), Mumbai",Mumbai Suburban,26123892,info@djsce.ac.in,www.djsce.ac.in,Mrs. Shreeya Hadkar,26123892,Un-Aided,Non-Autonomous
"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri",Mumbai,Rural,"P- 60, P-60/1, MIDC, Mirjole Block, Ratnagiri",Ratnagiri,229569,admin@famt.ac.in,www.famt.ac.in,Gajanan D Targaonkar,229657,Un-Aided,Non-Autonomous
